id;created_at;text;retweet_count;favorite_count
1055117377329860608;2018-10-24 15:22:40;I posted a new video to Facebook https://t.co/nEyCLOOMoE;0;5
1054829517565497345;2018-10-23 20:18:49;I posted a new video to Facebook https://t.co/MS6HgEQtEv;3;23
1045454358186536961;2018-09-27 23:25:17;Hoje é 27! Dia 7 também será 27! https://t.co/3x67CQhfNu;158;383
1043899175035965441;2018-09-23 16:25:32;Eymael Eleição 1998 Minas Gerais! 43 cidades com + de 40  mil EL = 5 com + de 0,1% Votos! 808 cidades com-de 40 mil EL = 805 com+de 1%Votos! Ex: Araguari 73.439 EL. 13 votos!Alfenas 39.603 El 118 votos! Em 1998 foram usadas Urnas Eletrônicas em 537 cidades com mais de 40.000 EL .;20;40
1043865301853573126;2018-09-23 14:10:56;Eymael eleição1998 indício de fraude: Urna eletrônica em 537 cidades Brasil com 40 mil ou + EL. No Pará: 10 com + de 40 mil EL= 01 com + de 0,1% VT! 133 com - de 40 mil EL=132 com + de 0,1% VT! Ex: Bragança 44.401EL=6VT Chaves 7.757EL=27VT!;377;520
1039552462833766400;2018-09-11 16:33:15;Mais uma vez, convido a todos a mandarem perguntas com #pergunteaoEymael! Desta vez, estarei ao vivo pela TV Eymael, as 20h30 respondendo suas dúvidas! https://t.co/HXfdpl1xHy;14;53
1037820955576463360;2018-09-06 21:52:52;https://t.co/TF66KTEN0N;45;232
1037779180627415040;2018-09-06 19:06:52;Agradeço a participação de vocês! https://t.co/i1VHjs0q0M;4;26
1037777905433174018;2018-09-06 19:01:48;.@memphisdeuspay #pergunteaoEymael https://t.co/TMj9Q8k7iy;22;41
1037777454457339905;2018-09-06 19:00:00;.@FelipeUi9500 #pergunteaoEymael https://t.co/43cRZDrgLv;2;7
1037775774516953094;2018-09-06 18:53:20;.@FilipeHerbert #pergunteaoEymael https://t.co/hWhLaPOIZJ;1;8
1037775113884774401;2018-09-06 18:50:42;.@FilipeHerbert #pergunteaoEymael https://t.co/F1nh6A8i1A;0;5
1037774640851156993;2018-09-06 18:48:49;.@oh_zetta #pergunteaoEymael https://t.co/FfpgGgyoG6;2;8
1037773116225855488;2018-09-06 18:42:46;.@oh_zetta #pergunteaoEymael https://t.co/B8LY73dlgR;1;6
1037772294372904960;2018-09-06 18:39:30;.@SamuelO96936045 #pergunteaoEymael https://t.co/tr9GIXn7jV;1;4
1037771666208841728;2018-09-06 18:37:00;.@Isis64340505 #pergunteaoEymael https://t.co/XVwDzhYAys;1;5
1037770138941095937;2018-09-06 18:30:56;.@CasteloBranco64 #pergunteaoEymael https://t.co/5l46FBuuZq;16;28
1037769759260061700;2018-09-06 18:29:26;.@asrbarreto #pergunteaoEymael https://t.co/EVX7HEonAt;1;4
1037767933206900738;2018-09-06 18:22:10;.@Wendel_Lucas #pergunteaoEymael https://t.co/kGoHJQgn6O;0;7
1037767381584695297;2018-09-06 18:19:59;.@frajola_t13 #pergunteaoEymael https://t.co/yxOEIl7JkB;2;9
1037766953123897344;2018-09-06 18:18:17;.@FilipeHerbert #pergunteaoEymael https://t.co/Fca2qLzuoW;0;8
1037765832867233792;2018-09-06 18:13:49;.@denis_salim #pergunteaoEymael https://t.co/61IdpEgxdp;0;8
1037765130698870784;2018-09-06 18:11:02;.@SamuelO96936045 #pergunteaoEymael https://t.co/CjEpfZ8pzd;1;6
1037763765067034625;2018-09-06 18:05:36;As perguntas que serão respondidas estão sendo selecionadas por mim e minha equipe;2;8
1037762988919463936;2018-09-06 18:02:31;Já estou no Twitter para responder às perguntas de vocês. Para participar, use a hashtag #pergunteaoEymael https://t.co/mCOxlNBNfT;22;63
1037448742511800324;2018-09-05 21:13:49;Fiquem atentos! Amanhã (6) estarei ao vivo no @TwitterBrasil respondendo as perguntas que enviarem com #pergunteaoEymael. Vamos lá! https://t.co/i6qLK8iZ9h;1;12
1037053763251593217;2018-09-04 19:04:19;Já mandou sua pergunta? Na quinta-feira (6), às 15h, estarei no @TwitterBrasil respondendo as dúvidas de vocês. #pergunteaoEymael https://t.co/7UGbB7FD4L;5;17
1036706447005044738;2018-09-03 20:04:12;Acompanhem nosso candidato a Presidência da República, Eymael, em entrevista a Rádio Globo. https://t.co/W3tfeUuz5K;1;5
1036662499205099522;2018-09-03 17:09:34;Estarei ao vivo, nesta quinta-feira (6), no @TwitterBrasil respondendo perguntas. Mandem as suas com a hashtag #pergunteaoEymaelVejo vocês lá!;5;19
1032092722167988224;2018-08-22 02:30:54;I posted a new video to Facebook https://t.co/TIpRam11RY;2;8
1031864542010191873;2018-08-21 11:24:12;Participação nos Debates: A TV Bandeirantes  NÃO PERMITIU! A Rede TV também NÃO PERMITIU!  Por que me TEMEM?;2254;5815
1030552306557886465;2018-08-17 20:29:51;RESOLUÇÃO Nº 43/2018Conforme reunião da Comissão Executiva do Diretório Nacional, no dia 08/06/18, a Comissão Executiva do Diretório Nacional, edita a seguinte Resolução.RESOLUÇÃO:1. 30% do total dos recursos do... https://t.co/2iYXEO0nXg;0;6
1029925988724027393;2018-08-16 03:01:05;Eu postei um novo vídeo no Facebook. https://t.co/7xYI5oTfNR;0;4
